#    ID RA            Dec          F814W   F555W
#       [deg]         [deg]
     88 161.75978827  17.26277994  22.670  24.762
     89 161.75607353  17.28448803  23.583  23.735
     90 161.75944764  17.27093881  23.292  23.874
     91 161.80266337  17.28388213  22.800  24.497
     92 161.77767808  17.26945941  23.630  23.764
     93 161.76928647  17.27009327  23.315  23.845
     94 161.77843471  17.27019161  23.077  24.135
     95 161.76747780  17.27358512  23.334  23.897
     96 161.77086091  17.28158308  22.908  24.342
     97 161.75755892  17.27069723  23.415  23.848
     98 161.76394394  17.26514791  23.569  23.794
     99 161.77868953  17.27115839  23.122  24.096
    100 161.76364647  17.26649197  23.444  23.863
    101 161.75516379  17.28925445  23.606  23.801
    102 161.76508720  17.28379933  23.697  23.776
    103 161.77576844  17.27016450  23.454  23.880
    104 161.76813581  17.26463866  23.317  23.951
    105 161.76710135  17.27513595  23.466  23.857
    106 161.76660627  17.27709005  23.609  23.851
    107 161.76671770  17.27023714  23.111  24.121
    108 161.77152348  17.27729925  23.679  23.810
    109 161.76738553  17.28753535  23.552  23.887
    110 161.76879210  17.28641479  23.604  23.897
    111 161.77662413  17.30713454  23.184  24.139
    112 161.76881666  17.27101587  23.604  23.896
    113 161.76303225  17.26997474  23.227  24.141
    114 161.77971206  17.25656922  23.758  23.886
    115 161.76024749  17.27010519  22.892  24.819
    116 161.77066476  17.27724745  23.121  24.310
    117 161.76985503  17.27091154  23.289  24.077
    118 161.76759377  17.27285400  23.431  24.154
    119 161.76626954  17.27434954  23.589  24.007
    120 161.75307891  17.28421636  22.939  24.766
    121 161.76168610  17.28722693  23.119  24.330
    122 161.77520602  17.27356720  23.722  23.894
    123 161.76416714  17.27347980  23.488  23.981
    124 161.77798693  17.27017752  23.490  24.037
    125 161.77051092  17.27775057  23.312  24.085
    126 161.75781385  17.28200178  22.941  24.930
    127 161.76066425  17.28490765  23.480  24.021
    128 161.76857142  17.27952881  23.275  24.153
    129 161.75563110  17.27336674  23.543  23.994
    130 161.76258563  17.27148076  23.406  24.074
    131 161.77122643  17.27318348  23.739  23.930
    132 161.76926748  17.26940768  22.999  24.773
    133 161.76414954  17.27362645  23.070  25.369
    134 161.77306145  17.27123211  23.556  24.013
    135 161.76927585  17.27778940  23.482  24.031
    136 161.76261559  17.27112897  23.546  24.022
    137 161.77074705  17.27747702  23.857  23.936
