#    ID   RA            Dec        F814W   F555W
#         [deg]         [deg]
    388   161.742148    17.262371  28.345  29.837
    389   161.751113    17.287252  27.980  27.785
    390   161.751584    17.288559  28.335  29.746
    391   161.750875    17.286590  25.678  25.570
    392   161.752658    17.291535  27.793  30.043
    393   161.754592    17.296896  27.738  29.096
    394   161.751023    17.286993  27.744  27.628
    395   161.755273    17.298785  28.945  30.562
    396   161.754917    17.297792  28.141  29.695
    397   161.752936    17.292293  28.993  29.790
    398   161.752025    17.289762  28.369  29.810
    399   161.742206    17.262508  28.891  30.772
    400   161.750708    17.286107  27.404  28.782
    401   161.753854    17.294836  27.650  29.001
    402   161.748825    17.280876  28.549  28.759
    403   161.749180    17.281857  27.619  31.318
    404   161.750516    17.285565  27.912  28.209
    405   161.752840    17.292008  28.419  30.014
    406   161.752755    17.291771  29.104  31.139
    407   161.753440    17.293672  28.512  28.470
    408   161.754942    17.297840  28.416  30.974
    409   161.749366    17.282365  28.773  30.193
    410   161.749648    17.283147  28.379  29.791
    411   161.752070    17.289868  27.981  28.032
    412   161.753112    17.292758  27.996  30.573
    413   161.749720    17.283342  28.858  30.792
    414   161.746813    17.275272  28.236  30.357
    415   161.748724    17.280575  27.783  30.144
    416   161.750202    17.284677  27.303  30.009
    417   161.748529    17.280032  28.468  30.909
    418   161.751142    17.287279  28.769  28.472
    419   161.751090    17.287131  28.068  29.862
    420   161.748626    17.280290  27.906  29.351
    421   161.754067    17.295388  28.339  29.558
    422   161.754964    17.297874  28.478  29.477
    423   161.752906    17.292159  28.822  29.976
    424   161.754995    17.297954  29.023  30.334
    425   161.750296    17.284914  28.529  31.263
    426   161.752191    17.290172  27.240  27.284
    427   161.752660    17.291468  27.573  28.992
    428   161.751298    17.287688  27.825  30.291
    429   161.754271    17.295934  28.368  30.473
    430   161.752075    17.289833  28.353  29.014
    431   161.751605    17.288528  28.757  28.832
    432   161.753753    17.294491  27.827  29.321
    433   161.747890    17.278217  27.844  28.041
    434   161.750904    17.286582  25.065  26.830
    435   161.751278    17.287613  28.728  28.857
    436   161.754601    17.296833  28.703  29.691
    437   161.752031    17.289698  28.305  30.070
    438   161.749343    17.282235  28.132  29.493
    439   161.752398    17.290713  27.067  30.116
    440   161.752601    17.291274  28.438  30.078
    441   161.747582    17.277346  28.609  30.326
    442   161.747097    17.275996  28.607  30.630
