#    ID RA            Dec          F814W   F555W
#       [deg]         [deg]
    288 161.75767403  17.28152541  23.935  24.711
    289 161.76455717  17.27595470  23.812  24.761
    290 161.76659612  17.27697397  23.880  24.750
    291 161.77610256  17.25717084  24.434  24.496
    292 161.78396645  17.25315647  23.502  25.604
    293 161.76810613  17.28709247  24.273  24.543
    294 161.77115873  17.27451536  24.205  24.571
    295 161.79037537  17.28446491  23.533  25.527
    296 161.76422865  17.27012754  23.789  26.810
    297 161.77289123  17.27121521  23.671  25.954
    298 161.77339582  17.27169801  24.233  24.583
    299 161.77384317  17.26979055  23.893  24.785
    300 161.74969630  17.27909525  24.005  24.706
    301 161.75584830  17.28494641  24.107  24.640
    302 161.77379665  17.28185591  23.533  25.402
    303 161.76522538  17.27898506  23.783  24.905
    304 161.76285981  17.26894947  23.628  26.079
    305 161.75836042  17.26567607  23.834  24.989
    306 161.76307366  17.27666311  24.419  24.548
    307 161.75912230  17.27124782  23.602  25.660
    308 161.77004335  17.27213224  23.737  24.994
    309 161.75231351  17.28898908  23.575  25.949
    310 161.76199724  17.29041134  23.584  25.973
    311 161.77282093  17.27171451  24.291  24.602
    312 161.75954749  17.26856264  23.605  25.903
    313 161.76280214  17.28759654  23.891  24.937
    314 161.76346894  17.28757588  23.592  25.589
    315 161.78360425  17.27499107  24.179  29.234
    316 161.76782959  17.26891389  23.866  24.862
    317 161.76300694  17.28772387  24.042  24.743
    318 161.76517354  17.26742283  23.688  25.226
    319 161.75509195  17.27527781  23.592  25.672
    320 161.77089863  17.26876510  24.294  24.671
    321 161.77168029  17.27752092  24.583  24.553
    322 161.78239258  17.30018759  23.840  24.952
    323 161.77501835  17.27614857  24.420  24.604
    324 161.77163938  17.27706771  24.410  24.619
    325 161.76871526  17.27410014  23.792  24.908
    326 161.76304456  17.26988257  24.141  24.701
    327 161.77365472  17.27638509  24.625  24.560
    328 161.77791693  17.26985916  24.019  24.778
    329 161.75412761  17.29086686  23.562  25.888
    330 161.77255930  17.27634191  23.890  24.924
    331 161.77360227  17.27692112  23.688  26.043
    332 161.76146160  17.27061705  24.497  24.578
    333 161.78189656  17.26623503  24.388  24.637
    334 161.75229490  17.28236591  24.063  24.790
    335 161.77341587  17.26432598  23.625  25.476
    336 161.79694690  17.26595978  23.689  25.325
    337 161.76897893  17.27479799  24.008  24.837
    338 161.77083544  17.28171512  24.277  24.655
    339 161.77827307  17.27143600  23.956  24.942
    340 161.78107896  17.27604870  24.184  24.737
    341 161.76729062  17.28160848  23.709  25.736
    342 161.76341656  17.27750914  24.233  24.711
    343 161.76157755  17.27053547  23.723  25.865
    344 161.76441155  17.26978998  23.718  25.827
    345 161.76024737  17.26265566  24.692  24.587
    346 161.76034075  17.28491406  24.201  24.746
    347 161.77594242  17.25951784  23.680  25.514
    348 161.76919219  17.27833745  24.153  27.838
    349 161.77142840  17.27739866  23.790  25.721
    350 161.77072919  17.27847010  24.422  24.660
    351 161.77858939  17.26548724  23.823  25.107
    352 161.76351401  17.27343239  24.440  24.639
    353 161.76660219  17.26516295  23.697  25.662
    354 161.75807907  17.28165994  23.744  25.927
    355 161.77179541  17.26030795  23.699  25.441
    356 161.75954727  17.26821886  23.687  25.773
    357 161.76112481  17.26946012  24.350  24.691
    358 161.77377546  17.27272437  24.481  24.661
    359 161.76122284  17.28384237  24.374  24.691
    360 161.77188481  17.27674146  24.008  27.156
    361 161.77749044  17.25669773  23.693  25.949
    362 161.76597182  17.25882483  24.618  24.628
    363 161.76181879  17.27209012  24.582  24.651
    364 161.76310076  17.27262035  24.374  24.713
    365 161.76849618  17.26807981  23.790  25.284
    366 161.76917001  17.27990920  24.402  24.704
    367 161.75146141  17.28540137  23.797  25.319
    368 161.75905239  17.28615052  23.906  26.704
    369 161.76791951  17.27594550  24.462  24.706
    370 161.76430223  17.28233198  24.007  24.962
    371 161.76343213  17.26570770  24.586  24.681
    372 161.76644210  17.27708055  23.880  26.318
    373 161.75232493  17.28857084  24.310  24.769
    374 161.76867656  17.28654324  24.687  24.660
    375 161.76125246  17.28467280  23.887  26.792
    376 161.77207364  17.27785257  23.830  26.228
    377 161.75290370  17.28144883  23.790  25.727
    378 161.78031169  17.25829632  24.265  24.811
    379 161.77122300  17.27671954  24.362  24.760
    380 161.76606479  17.27675625  24.011  25.046
    381 161.76633639  17.27655551  24.429  24.731
    382 161.75749498  17.28286107  24.099  24.925
    383 161.77097823  17.27396423  24.362  24.754
    384 161.76215174  17.27216931  23.944  25.056
    385 161.75619977  17.29641193  23.730  25.837
    386 161.77497954  17.25174636  23.718  25.829
    387 161.77844797  17.27033253  23.820  26.340
    388 161.76766233  17.26839689  23.947  25.541
    389 161.77154226  17.27804102  24.513  24.718
    390 161.75569189  17.28188158  23.919  26.854
    391 161.77188873  17.28362454  24.152  24.915
    392 161.75384327  17.29209654  23.726  25.897
    393 161.77186202  17.26835549  24.641  24.708
    394 161.77301752  17.27152035  23.938  25.177
    395 161.76280760  17.27664023  24.008  25.032
    396 161.75461975  17.28094892  24.141  24.929
    397 161.75613519  17.28475859  23.800  25.781
    398 161.77418918  17.27666565  24.132  27.404
    399 161.76402622  17.26506637  23.767  26.189
    400 161.76173933  17.27211035  24.531  24.737
    401 161.76244148  17.28691513  23.770  25.876
    402 161.76780008  17.26843681  24.513  24.751
    403 161.76951174  17.27151040  24.377  24.844
    404 161.77205611  17.27796013  23.848  25.512
    405 161.77215785  17.27253658  23.942  25.141
    406 161.76598369  17.25771137  24.583  24.728
    407 161.76521951  17.28098328  23.990  27.052
    408 161.76988752  17.27319917  24.216  24.878
    409 161.77227701  17.27664870  23.852  25.861
    410 161.75782949  17.26902567  23.788  26.118
    411 161.76696368  17.27615430  24.585  24.760
    412 161.77838973  17.27084433  23.828  26.224
    413 161.76968026  17.27229549  23.917  25.205
    414 161.75258811  17.28227119  24.516  24.778
    415 161.77198903  17.27355975  24.007  25.156
    416 161.80991785  17.28780341  24.074  25.141
    417 161.77025379  17.27046997  24.320  24.848
    418 161.77828039  17.26099860  23.823  26.182
    419 161.76185235  17.27117635  24.057  25.074
    420 161.76641624  17.28955243  23.773  26.178
    421 161.77845337  17.25704145  24.643  24.754
    422 161.75800369  17.28421078  24.424  24.817
    423 161.77757491  17.27212744  23.835  26.112
    424 161.77658142  17.30705192  24.033  25.292
    425 161.77459652  17.26182173  24.082  25.067
    426 161.76013538  17.28838553  23.866  26.139
    427 161.76951084  17.27915237  24.556  24.790
    428 161.76302837  17.27123847  23.911  25.507
    429 161.77595844  17.27301863  24.521  24.820
    430 161.75969004  17.27093495  24.618  24.786
    431 161.76398793  17.25927237  23.855  25.580
    432 161.76665626  17.28308058  23.888  25.635
    433 161.75846742  17.26565457  23.899  25.399
    434 161.77427749  17.29425118  23.887  25.432
    435 161.76666453  17.28042793  24.241  24.951
    436 161.76544506  17.27268501  23.921  25.332
    437 161.77690069  17.27059200  24.508  24.841
    438 161.76747832  17.28129827  24.451  24.889
    439 161.75671877  17.28923753  23.853  26.415
    440 161.77799927  17.27250838  23.964  26.199
    441 161.76574816  17.27323154  24.352  24.864
    442 161.76108815  17.28266706  24.053  25.179
    443 161.76693130  17.27633078  24.502  24.922
    444 161.77216711  17.27625503  24.201  27.164
    445 161.76148383  17.27016910  23.917  25.850
    446 161.76416558  17.25955579  23.888  25.573
    447 161.77523427  17.27603662  24.245  24.988
    448 161.76302796  17.28749282  23.946  26.413
    449 161.76194006  17.27057292  24.043  25.178
    450 161.77803416  17.26966845  24.568  24.855
    451 161.78077957  17.26351449  24.813  24.784
    452 161.76732774  17.27809780  24.539  24.843
    453 161.77445024  17.25872778  24.458  24.894
    454 161.77349831  17.28206016  24.603  24.827
    455 161.76400014  17.26862790  23.982  26.511
    456 161.75689002  17.27364269  23.923  26.534
    457 161.75600355  17.29396575  23.884  25.662
    458 161.77777724  17.27067286  24.203  25.048
    459 161.77350591  17.28317502  24.810  24.785
    460 161.75346479  17.28170777  23.910  25.532
